Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-11-17,Tortilla Medium,Lunch,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-11-17,"Peanut Butter, Creamy",Lunch,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-11-17,Nonfat Vanilla Yogurt,Lunch,0.75,Cup,120,0,7,22,n/a,20,0,5,105
2020-11-17,"Popcorn, White Cheddar Cheese",Lunch,29,Grams,166,10.36,3.11,14.5,2.7,2.7,2.7,0,300.36
2020-11-17,"Popcorn, White Cheddar Cheese",Dinner,44,Grams,251,15.71,4.71,22,3.14,3.14,3.14,0,455.71
2020-11-17,"Peanut Butter, Creamy",Dinner,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-11-17,Tortilla Medium,Dinner,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-11-17,Pure Clover Honey,Dinner,0.5,Tablespoon,30,0,0,8.5,n/a,8,n/a,n/a,0
2020-11-17,Chocolate Chip Cookie Ice Cream Sandwich,Dinner,1,Serving,380,15,3,57,6,34,1,10,210
2020-11-17,"Drink, Ion4, Orange",Snacks,18,Fluid ounces,120,0,0,33,0,33,0,0,112.50
2020-11-17,Google Fit Workout,Exercise,59,minutes,745.257,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-17,Steps Bonus,Exercise,-1,minutes,318.622,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-18,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-18,"Popcorn, White Cheddar Cheese",Lunch,40,Grams,229,14.29,4.29,20,2.86,2.86,2.86,0,414.29
2020-11-18,"Soylent, Original, 2.0",Lunch,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-18,"Milk, 2%, w/ Vitamin A & D",Dinner,244,Milliliters,126,4.98,8.30,12.8,3.15,12.73,0,20.13,118.27
2020-11-18,"Cereal, Cheerios",Dinner,84,Grams,300,6,9,60,1.50,3,9,0,420
2020-11-18,"Popcorn, White Cheddar Cheese",Dinner,28,Grams,160,10,3,14,2,2,2,0,290
2020-11-18,"Cookies, Chips Ahoy",Snacks,7,Each,373,18.67,2.33,51.33,5.83,25.67,2.33,0,256.67
2020-11-18,Google Fit Workout,Exercise,23,minutes,179.015,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-18,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-19,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-19,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-19,"Milk, 2%, w/ Vitamin A & D",Lunch,225,Milliliters,116,4.59,7.66,11.14,2.90,11.74,0,18.56,109.6
2020-11-19,"Cereal, Cheerios",Lunch,61,Grams,218,4.36,6.54,43.57,1.9,2.18,6.54,0,305
2020-11-19,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-19,"Peanuts, Cocktail",Dinner,60,Pieces,291,24,12,8.57,3.43,1.71,3.43,0,162.86
2020-11-19,"Peanut Butter, Creamy",Dinner,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-11-19,Pure Clover Honey,Dinner,1,Tablespoon,60,0,0,17,n/a,16,n/a,n/a,0
2020-11-19,Tortilla Medium,Dinner,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-11-19,"Cookies, Chips Ahoy",Snacks,7,Each,373,18.67,2.33,51.33,5.83,25.67,2.33,0,256.67
2020-11-19,"Milk, 2%, w/ Vitamin A & D",Snacks,177.5,Milliliters,92,3.62,6.4,8.79,2.29,9.26,0,14.64,86.4
2020-11-19,Google Fit Workout,Exercise,28,minutes,215.223,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-19,Google Fit Workout,Exercise,36,minutes,468.022,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-19,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-20,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-20,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-20,"Pizza, Cheese, Slice",Dinner,4,Each,960,36,4,120,18,12,4,80,1640
2020-11-20,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-21,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-21,"Popcorn, White Cheddar Cheese",Lunch,44,Grams,251,15.71,4.71,22,3.14,3.14,3.14,0,455.71
2020-11-21,"Cereal, Cheerios",Dinner,57,Grams,204,4.7,6.11,40.71,1.2,2.4,6.11,0,285
2020-11-21,"Milk, 2%, w/ Vitamin A & D",Dinner,241,Milliliters,124,4.92,8.20,11.93,3.11,12.58,0,19.88,116.82
2020-11-21,"Popcorn, White Cheddar Cheese",Dinner,47,Grams,269,16.79,5.4,23.5,3.36,3.36,3.36,0,486.79
2020-11-21,"Cookies, Chips Ahoy",Snacks,7,Each,373,18.67,2.33,51.33,5.83,25.67,2.33,0,256.67
2020-11-21,"Milk, 2%, w/ Vitamin A & D",Snacks,125,Milliliters,64,2.55,4.25,6.19,1.61,6.52,0,10.31,60.59
2020-11-21,Google Fit Workout,Exercise,40,minutes,302.783,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-21,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-22,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-22,"Soylent, Original, 2.0",Lunch,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-22,"Soda, Mountain Dew",Dinner,591,Milliliters,283,0,0,76.58,0,76.58,0,0,99.89
2020-11-22,Skittles,Dinner,0.666,Cup,426,4,0,98.57,4,79.92,0,0,26.64
2020-11-22,Medium Popcorn,Dinner,0.666,Container,200,23.31,5.99,53.95,23.31,n/a,2,n/a,219.78
2020-11-22,"Popcorn, White Cheddar Cheese",Snacks,51,Grams,291,18.21,5.46,25.5,3.64,3.64,3.64,0,528.21
2020-11-22,Google Fit Workout,Exercise,30,minutes,148.202,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-22,Google Fit Workout,Exercise,28,minutes,140.808,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-22,Steps Bonus,Exercise,-1,minutes,248.066,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-22,Google Fit Workout,Exercise,31,minutes,237.458,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-22,Google Fit Workout,Exercise,11,minutes,163.986,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-23,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-23,"Chips, Tortilla, Restaurant Style, Original",Lunch,70,Grams,350,17.50,5,47.5,2.50,0,2.50,0,287.50
2020-11-23,"Soda, Mountain Dew",Lunch,591,Milliliters,283,0,0,76.58,0,76.58,0,0,99.89
2020-11-23,"Popcorn, White Cheddar Cheese",Dinner,57,Grams,326,20.36,6.11,28.5,4.7,4.7,4.7,0,590.36
2020-11-23,Skittles,Snacks,0.5,Cup,320,3,0,74,3,60,0,0,20
2020-11-23,Google Fit Workout,Exercise,0,minutes,0.966478,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-23,Situps,Exercise,15,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-23,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-24,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-24,"Cereal, Cheerios",Lunch,56,Grams,200,4,6,40,1,2,6,0,280
2020-11-24,"Milk, 2%, w/ Vitamin A & D",Lunch,244,Milliliters,126,4.98,8.30,12.8,3.15,12.73,0,20.13,118.27
2020-11-24,"Popcorn, White Cheddar Cheese",Lunch,30,Grams,171,10.71,3.21,15,2.14,2.14,2.14,0,310.71
2020-11-24,"Crust, Hand Tossed, Large",Dinner,0.666,Each,946,20.65,29.97,162.5,4.66,7.99,5.33,0,1065.60
2020-11-24,"Chips, Tortilla, Restaurant Style, Original",Snacks,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-24,"Cookies, Chips Ahoy",Snacks,0.75,Each,40,2,0.25,5.5,0.63,2.75,0.25,0,27.50
2020-11-24,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-25,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-25,"Crust, Hand Tossed, Large",Lunch,0.333,Each,473,10.32,14.98,81.25,2.33,4,2.66,0,532.80
2020-11-25,"Cereal, Cheerios",Dinner,56,Grams,200,4,6,40,1,2,6,0,280
2020-11-25,"Milk, 2%, w/ Vitamin A & D",Dinner,225,Milliliters,116,4.59,7.66,11.14,2.90,11.74,0,18.56,109.6
2020-11-25,"Chips, Tortilla, Restaurant Style, Original",Snacks,57,Grams,285,14.25,4.7,38.68,2.4,0,2.4,0,234.11
2020-11-25,Google Fit Workout,Exercise,44,minutes,329.682,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-25,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-26,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-26,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-26,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-26,BlueberryToaster Pastry,Dinner,2,Servings,360,14,4,54,5,20,2,0,360
2020-11-26,Nonfat Vanilla Yogurt,Dinner,1.25,Cups,200,0,11.67,36.67,n/a,33.33,0,8.33,175
2020-11-26,"Chips, Tortilla, Restaurant Style, Original",Snacks,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-26,"Salsa, Jack's Special, Medium",Snacks,9,Tablespoons,45,0,0,9,0,9,0,0,517.50
2020-11-26,"Soda, Mountain Dew",Snacks,1,Can,170,0,0,46,0,46,0,0,60
2020-11-26,Google Fit Workout,Exercise,295,minutes,635.583,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-26,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-26,Google Fit Workout,Exercise,32,minutes,240.393,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-26,Google Fit Workout,Exercise,14,minutes,71.489,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-27,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-27,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-27,"Salsa, Jack's Special, Medium",Lunch,9,Tablespoons,45,0,0,9,0,9,0,0,517.50
2020-11-27,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-28,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-28,"Cheese Sticks, Mozzarella, Brd",Lunch,198,Grams,601,31.82,28.29,49.5,14.14,3.54,0,53.4,1308.21
2020-11-28,"Chips, Tortilla, Restaurant Style, Original",Lunch,30,Grams,150,7.50,2.14,20.36,1.7,0,1.7,0,123.21
2020-11-28,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-28,Fanta Orange,Dinner,1,Bottle,270,0,0,75,0,73,0,0,95
2020-11-28,"Popcorn, White Cheddar Cheese",Dinner,50,Grams,286,17.86,5.36,25,3.57,3.57,3.57,0,517.86
2020-11-28,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-29,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-29,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-29,"Soylent, Original, 2.0",Lunch,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-29,"Popcorn, White Cheddar Cheese",Lunch,40,Grams,229,14.29,4.29,20,2.86,2.86,2.86,0,414.29
2020-11-29,"Popcorn, White Cheddar Cheese",Dinner,40,Grams,229,14.29,4.29,20,2.86,2.86,2.86,0,414.29
2020-11-29,Lifesavers Mints,Dinner,10,Pieces,150,0,0,37.5,0,35,0,0,0
2020-11-29,Google Fit Workout,Exercise,32,minutes,429.337,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-29,Steps Bonus,Exercise,-1,minutes,318.048,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-30,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-30,"Chips, Tortilla, Restaurant Style, Original",Lunch,60,Grams,300,15,4.29,40.71,2.14,0,2.14,0,246.43
2020-11-30,4 Cheese Mexican Blend,Lunch,2,Servings,220,18,12,2,12,0,0,50,400
2020-11-30,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-30,"Soda, Mountain Dew",Dinner,1,Can,170,0,0,46,0,46,0,0,60
2020-11-30,"Cheese Sticks, Mozzarella, Brd",Dinner,165,Grams,501,26.52,23.57,41.25,11.79,2.95,0,44.20,1090.18
2020-11-30,"Nuts, Peanuts, Cocktail",Snacks,75,Grams,455,37.50,18.75,13.39,5.36,2.68,5.36,0,308.4
2020-11-30,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-01,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-01,"Cheese Sticks, Mozzarella, Brd",Lunch,275,Grams,835,44.20,39.29,68.75,19.64,4.91,0,73.66,1816.96
2020-12-01,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-12-01,"Salsa, Jack's Special, Medium",Dinner,10,Tablespoons,50,0,0,10,0,10,0,0,575
2020-12-01,Steps Bonus,Exercise,-1,minutes,193.214,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-02,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-02,BlueberryToaster Pastry,Lunch,2,Servings,360,14,4,54,5,20,2,0,360
2020-12-02,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-12-02,"Salsa, Jack's Special, Medium",Lunch,10,Tablespoons,50,0,0,10,0,10,0,0,575
2020-12-02,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-12-02,"Soda, Mountain Dew",Dinner,1,Can,170,0,0,46,0,46,0,0,60
2020-12-02,"Chips, Tortilla, Restaurant Style, Original",Dinner,40,Grams,200,10,2.86,27.14,1.43,0,1.43,0,164.29
2020-12-02,"Chips, Tortilla, Restaurant Style, Original",Snacks,56,Grams,280,14,4,38,2,0,2,0,230
2020-12-02,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-03,BlueberryToaster Pastry,Breakfast,2,Servings,360,14,4,54,5,20,2,0,360
2020-12-03,"Pizza, Cheese, Slice",Dinner,4,Each,960,36,4,120,18,12,4,80,1640
2020-12-03,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-04,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-04,BlueberryToaster Pastry,Lunch,2,Servings,360,14,4,54,5,20,2,0,360
2020-12-04,"Popcorn, Butter",Lunch,9,Cups,383,27,4.50,38.25,13.50,0,6.75,0,855
2020-12-04,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-12-04,Tortilla Medium,Dinner,2,Servings,260,6,6,40,2,0,2,0,493.33
2020-12-04,"Peanut Butter, Creamy",Dinner,4,Tablespoons,376,32.25,16.6,12.52,6.73,5.90,3.84,0,293.76
2020-12-04,Pure Clover Honey,Dinner,2,Tablespoons,120,0,0,34,n/a,32,n/a,n/a,0
2020-12-04,Nonfat Vanilla Yogurt,Snacks,1.25,Cups,200,0,11.67,36.67,n/a,33.33,0,8.33,175
2020-12-04,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-05,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-05,"Waffles, Plain, Homemade",Breakfast,1,Each,218,10.57,5.92,24.68,2.15,0,0,51.75,383.25
2020-12-05,"Syrup, Maple",Breakfast,2,Tablespoons,104,0.8,0,26.84,0.1,23.81,0,0,3.60
2020-12-05,"Pizza, Cheese, Slice",Lunch,1.5,Each,360,13.50,1.50,45,6.75,4.50,1.50,30,615
2020-12-05,"Nuts, Peanuts, Cocktail",Dinner,50,Grams,304,25,12.50,8.93,3.57,1.79,3.57,0,205.36
2020-12-05,"Soda, Mountain Dew",Dinner,1,Can,170,0,0,46,0,46,0,0,60
2020-12-05,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-06,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-06,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-12-06,Tortilla Medium,Dinner,2,Servings,260,6,6,40,2,0,2,0,493.33
2020-12-06,"Peanut Butter, Creamy",Dinner,4,Tablespoons,376,32.25,16.6,12.52,6.73,5.90,3.84,0,293.76
2020-12-06,Pure Clover Honey,Dinner,2,Tablespoons,120,0,0,34,n/a,32,n/a,n/a,0
2020-12-06,"Soda, Mountain Dew",Dinner,1,Can,170,0,0,46,0,46,0,0,60
2020-12-06,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-07,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-07,4 Cheese Mexican Blend,Lunch,2,Servings,220,18,12,2,12,0,0,50,400
2020-12-07,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-12-07,"Popcorn, White Cheddar Cheese",Dinner,28,Grams,160,10,3,14,2,2,2,0,290
2020-12-07,"Popcorn, White Cheddar Cheese",Snacks,28,Grams,160,10,3,14,2,2,2,0,290
2020-12-07,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-08,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-08,4 Cheese Mexican Blend,Lunch,2,Servings,220,18,12,2,12,0,0,50,400
2020-12-08,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-12-08,"Crust, Hand Tossed, Large",Dinner,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-12-08,"Popcorn, White Cheddar Cheese",Snacks,28,Grams,160,10,3,14,2,2,2,0,290
2020-12-08,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-09,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-09,"Crust, Hand Tossed, Large",Lunch,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-12-09,Milk,Dinner,1.5,Servings,195,n/a,13.50,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-09,"Cookie, Chocolate Chip, Large",Dinner,2,Each,379,18.65,4.10,51.9,7.95,28.11,1.92,0,236.80
2020-12-09,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-10,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-12-10,"Chips, Tortilla, Restaurant Style, Original",Lunch,100,Grams,500,25,7.14,67.86,3.57,0,3.57,0,410.71
2020-12-10,"Crust, Hand Tossed, Large",Dinner,0.333,Each,473,10.32,14.98,81.25,2.33,4,2.66,0,532.80
2020-12-10,"Cookie, Chocolate Chip, Large",Snacks,2,Each,379,18.65,4.10,51.9,7.95,28.11,1.92,0,236.80
2020-12-10,Milk,Snacks,1.5,Servings,195,n/a,13.50,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-10,Google Fit Workout,Exercise,12,minutes,61.2886,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-10,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
