Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-10-14,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-15,"Chips, Tortilla, Restaurant Style, Original",Lunch,58,Grams,290,14.50,4.14,39.36,2.7,0,2.7,0,238.21
2020-10-15,"Soda, Mountain Dew",Lunch,360,Milliliters,172,0,0,46.65,0,46.65,0,0,60.85
2020-10-15,"Soda, Mountain Dew",Dinner,187,Milliliters,90,0,0,24.23,0,24.23,0,0,31.61
2020-10-15,"Chips, Tortilla, Restaurant Style, Original",Dinner,60,Grams,300,15,4.29,40.71,2.14,0,2.14,0,246.43
2020-10-15,"Peanut Butter, Creamy",Dinner,30,Milliliters,193,16.23,7.10,6.9,3.4,3.4,2.3,0,152.16
2020-10-15,Pure Clover Honey,Dinner,15,Milliliters,61,0,0,17.25,n/a,16.23,n/a,n/a,0
2020-10-15,Baby Cut Carrots,Dinner,73,Grams,30,0,0.86,6.87,0,4.29,1.72,0,55.79
2020-10-15,Google Fit Workout,Exercise,10,minutes,173.022,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-15,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-16,"Cereal, Cheerios",Breakfast,37,Grams,132,2.64,3.96,26.43,0.66,1.32,3.96,0,185
2020-10-16,"Milk, 2%, w/ Vitamin A & D",Breakfast,130,Milliliters,67,2.65,4.42,6.44,1.68,6.78,0,10.73,63.1
2020-10-16,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-16,"Juice, Orange",Lunch,8,Fluid ounces,112,0.50,1.74,25.79,0.5,20.83,0.50,0,2.48
2020-10-16,"Waffles, Plain, Homemade",Lunch,1,Each,218,10.57,5.92,24.68,2.15,0,0,51.75,383.25
2020-10-16,"Syrup, Maple",Lunch,3,Tablespoons,157,0.12,0,40.25,0.2,35.71,0,0,5.40
2020-10-16,Mellow yellow zero,Dinner,22,Ounces,9,0,0,0,n/a,0,0,0,45.83
2020-10-16,"Pizza, Cheese, Slice",Dinner,2,Each,480,18,2,60,9,6,2,40,820
2020-10-16,"Chips, Tortilla, Restaurant Style, Original",Snacks,70,Grams,350,17.50,5,47.5,2.50,0,2.50,0,287.50
